accession	species	source
NC_000913.3	Escherichia coli	https://www.ncbi.nlm.nih.gov/nuccore/NC_000913.3
NC_016845.1	Klebsiella pneumoniae	https://www.ncbi.nlm.nih.gov/nuccore/NC_016845.1
NC_002516.2	Pseudomonas aeruginosa	https://www.ncbi.nlm.nih.gov/nuccore/NC_002516.2
NC_007795.1	Staphylococcus aureus	https://www.ncbi.nlm.nih.gov/nuccore/NC_007795.1
NZ_LN831051.1	Streptococcus pneumoniae	https://www.ncbi.nlm.nih.gov/nuccore/NZ_LN831051.1
NC_032089.1	Candida albicans	https://www.ncbi.nlm.nih.gov/nuccore/NC_032089.1
NZ_OW968328.1	Enterobacter cloacae	https://www.ncbi.nlm.nih.gov/nuccore/NZ_OW968328.1
AP041217.1	Enterococcus faecium	https://www.ncbi.nlm.nih.gov/nuccore/AP041217.1
AL157959.1	Neisseria meningitidis	https://www.ncbi.nlm.nih.gov/nuccore/AL157959.1
NC_003197.2	Salmonella enterica	https://www.ncbi.nlm.nih.gov/nuccore/NC_003197.2
NZ_CP127881.1	Serratia marcescens	https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP127881.1
NZ_CP035288.1	Staphylococcus epidermidis	https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP035288.1
NZ_CP104290.1	Stenotrophomonas maltophilia	https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104290.1
