species,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10
Escherichia coli,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Klebsiella pneumoniae,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pseudomonas aeruginosa,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000
Staphylococcus aureus,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Streptococcus pneumoniae,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Candida albicans,1395.000,35.000,1127.000,931.000,1149.000,48.000,75.000,1090.000,61.000,16.000
Enterobacter cloacae,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Enterococcus faecium,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
Neisseria meningitidis,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Salmonella enterica,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
Serratia marcescens,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,1.000
Staphylococcus epidermidis,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Stenotrophomonas maltophilia,0.000,0.000,0.000,2.000,1.000,0.000,0.000,1.000,1.000,0.000
